,0,1,2,0
84,16-20s,itr7,Node 1,"[3057, 3207, 992, 4297, 1761, 6805, 3121, 9227, 1847, 5865, 8936, 5469, 923, 7256]"
85,16-20s,itr8,Node5,"[2636, 2337, 1976, 1649, 932, 1781, 3649, 1497, 257, 461, 6892, 121]"
86,16-20s,itr8,Node4,"[2337, 1976, 1649, 3498, 932, 3649, 1497, 461, 288, 6892, 121, 7183]"
87,16-20s,itr8,Node 2,"[2636, 2337, 1976, 1649, 3498, 932, 3649, 1497, 288, 461, 6892, 121]"
88,16-20s,itr8,Node 3,"[2636, 2337, 1976, 1649, 1781, 932, 3649, 1497, 436, 257, 6892, 121]"
89,16-20s,itr8,Node 1,"[2636, 1976, 1649, 3498, 932, 3649, 1497, 5938, 461, 6892, 121, 7183]"
90,16-20s,itr9,Node 2,"[3270, 893, 5337, 915, 628, 995, 5828, 267, 114, 118, 5725, 57, 1059]"
91,16-20s,itr9,Node 1,"[3270, 1961, 893, 5337, 915, 995, 628, 5828, 267, 118, 114, 5725, 57, 1059]"
92,16-20s,itr9,Node 3,"[3270, 893, 5337, 915, 6095, 628, 5828, 267, 7298, 118, 5725, 57, 1059]"
93,16-20s,itr9,Node4,"[4394, 1961, 5337, 915, 150, 581, 5828, 267, 59, 118, 5725, 57, 1059]"
94,16-20s,itr9,Node5,"[893, 1961, 5337, 915, 581, 995, 5828, 267, 95, 114, 5725, 57, 1059]"
95,16-20s,itr10,Node 2,"[3587, 1448, 3814, 3451, 3726, 210, 4115, 89, 4206, 282, 105, 783, 4, 3]"
96,16-20s,itr10,Node5,"[2964, 3587, 1448, 3814, 3451, 3726, 3720, 210, 57, 4206, 282, 66, 783, 4, 3]"
97,16-20s,itr10,Node4,"[5525, 2964, 3587, 1448, 3814, 3451, 3726, 3720, 210, 42, 89, 4206, 282, 65, 105, 783, 4, 3]"
98,16-20s,itr10,Node 3,"[2964, 1448, 3814, 3451, 3726, 3720, 70, 210, 4115, 89, 4206, 282, 6676, 105, 783, 4, 3]"
99,16-20s,itr10,Node 1,"[2964, 5525, 3587, 1448, 3814, 3451, 70, 3720, 210, 89, 42, 4206, 282, 108, 105, 783, 4, 3]"
100,32-20s,itr1,Node4,"[3267, 2202, 2104, 1187, 4206, 3514, 4292, 3455, 2346, 2097, 10377, 2641, 1634]"
101,32-20s,itr1,Node5,"[3267, 2104, 1187, 4206, 3514, 4292, 3455, 3367, 2346, 5210, 2097, 10377, 2641, 1634]"
102,32-20s,itr1,Node 2,"[3267, 2202, 2104, 1187, 4206, 3514, 4292, 3455, 3367, 2346, 2097, 10377, 2641, 1634]"
103,32-20s,itr1,Node 3,"[3267, 2202, 2104, 1187, 4206, 3514, 4292, 3455, 3367, 2346, 2097, 5210, 10377, 2641, 1634]"
104,32-20s,itr1,Node 1,"[3267, 2202, 2104, 1187, 4206, 3514, 4292, 3455, 3367, 2346, 9741, 2097, 10377, 2641, 1634]"
105,32-20s,itr2,Node5,"[4082, 4246, 1135, 1468, 7694, 1027, 114, 86, 8496]"
106,32-20s,itr2,Node4,"[4082, 4246, 5442, 1135, 7694, 1027, 87, 76, 8496]"
107,32-20s,itr2,Node 2,"[4082, 4246, 5442, 1135, 7694, 1027, 76, 87, 8496]"
108,32-20s,itr2,Node 3,"[4082, 4246, 1468, 1135, 7694, 1027, 86, 87, 8496]"
109,32-20s,itr2,Node 1,"[4082, 4246, 5442, 1135, 7694, 1027, 9985, 87, 8496]"
110,32-20s,itr3,Node5,"[3417, 1236, 1249, 2783, 1939, 6848, 2933, 3815, 1015, 1338, 2668, 3425, 1551]"
111,32-20s,itr3,Node4,"[3417, 6836, 1850, 2783, 1939, 3203, 6848, 2933, 3815, 1015, 1338, 3425, 2308, 1551]"
112,32-20s,itr3,Node 2,"[3417, 1655, 1236, 2783, 1939, 6848, 2933, 3815, 1015, 1338, 1541, 1551]"
113,32-20s,itr3,Node 1,"[3417, 6836, 1249, 2783, 1850, 1939, 6848, 3268, 2933, 3815, 1015, 1338, 1541, 1551]"
114,32-20s,itr3,Node 3,"[3417, 1249, 1655, 2783, 1939, 2706, 6848, 2933, 1015, 1338, 1541, 3425, 1551]"
115,32-20s,itr4,Node5,"[4205, 1431, 4131, 1387, 4131, 363, 7948, 328, 120, 215, 5825, 3, 3]"
116,32-20s,itr4,Node4,"[4205, 1431, 1387, 4131, 363, 7948, 328, 215, 120, 5825, 3, 3]"
117,32-20s,itr4,Node 2,"[4205, 1431, 4131, 1387, 363, 591, 7948, 328, 138, 215, 5825, 3, 3]"
118,32-20s,itr4,Node 3,"[4205, 1431, 4131, 1387, 591, 363, 7948, 328, 122, 215, 5825, 3, 3]"
119,32-20s,itr4,Node 1,"[4205, 1431, 4131, 1387, 4131, 363, 7948, 328, 12022, 215, 5825, 3, 3]"
120,32-20s,itr5,Node5,"[3261, 3902, 2667, 178, 5699, 142, 241, 73, 8920, 324, 116]"
121,32-20s,itr5,Node4,"[3261, 3902, 2667, 638, 142, 131, 70, 8920, 324, 116]"
122,32-20s,itr5,Node 2,"[3261, 3902, 2667, 125, 638, 5699, 142, 73, 70, 8920, 324, 116]"
123,32-20s,itr5,Node 3,"[3261, 3902, 2667, 99, 638, 5699, 142, 70, 131, 8920, 324, 116]"
124,32-20s,itr5,Node 1,"[3261, 3902, 2667, 9215, 638, 5699, 142, 7848, 131, 8920, 324, 116]"
125,32-20s,itr6,Node 1,"[1120, 1266, 1859, 6133, 919, 5271, 628, 6058, 3582, 89, 3461, 4, 1994, 2]"
126,32-20s,itr6,Node 2,"[5027, 4478, 1266, 1859, 6133, 919, 5271, 628, 6058, 3582, 89, 3461, 4, 1994, 2]"
127,32-20s,itr6,Node 3,"[4478, 5027, 1266, 1859, 6133, 919, 628, 294, 6058, 89, 86, 3461, 4, 1994, 2]"
128,32-20s,itr6,Node4,"[1120, 605, 1266, 6133, 919, 628, 3582, 4, 2]"
129,32-20s,itr6,Node5,"[1120, 4478, 1266, 1859, 919, 294, 628, 6058, 86, 89, 3461, 4, 1994, 2]"
130,32-20s,itr7,Node4,"[3276, 3784, 4250, 306, 1774, 154, 6889, 5866, 1000]"
131,32-20s,itr7,Node5,"[3784, 4250, 4946, 4105, 1774, 77, 84, 254, 5866, 184, 1000]"
132,32-20s,itr7,Node 1,"[3784, 4250, 9270, 4946, 4105, 1774, 6718, 77, 254, 84, 5866, 184, 1000]"
133,32-20s,itr7,Node 2,"[3784, 4250, 4946, 4105, 1774, 6718, 77, 6889, 254, 5866, 184, 1000]"
134,32-20s,itr7,Node 3,"[3784, 4250, 4946, 4105, 1774, 6718, 77, 6889, 254, 5866, 184, 1000]"
135,32-20s,itr8,Node4,"[4077, 3236, 878, 4470, 7510, 292, 5919, 1894, 7]"
136,32-20s,itr8,Node5,"[4077, 3236, 5682, 878, 7510, 107, 292, 1894, 2]"
137,32-20s,itr8,Node 1,"[4077, 3236, 5682, 878, 7510, 6398, 5919, 292, 1894, 8446, 7]"
138,32-20s,itr8,Node 2,"[4077, 3236, 653, 878, 7510, 6398, 5919, 1894, 7]"
139,32-20s,itr8,Node 3,"[4077, 3236, 5682, 878, 7510, 6398, 5919, 1894, 8446, 7]"
140,32-20s,itr9,Node 2,"[4112, 5742, 2451, 4690, 6758, 2558, 76, 264, 4028, 3]"
141,32-20s,itr9,Node 3,"[4112, 5742, 2451, 869, 9263, 4690, 6758, 2558, 7704, 264, 4028, 3]"
142,32-20s,itr9,Node 1,"[4112, 5742, 2451, 4690, 9263, 6758, 2558, 264, 76, 4028, 3]"
143,32-20s,itr9,Node4,"[4112, 5742, 2451, 4690, 6758, 2558, 49, 264, 4028, 3]"
144,32-20s,itr9,Node5,"[4112, 869, 2451, 4690, 6758, 2558, 78, 76, 4028, 3]"
145,32-20s,itr10,Node 2,"[3327, 2477, 3754, 1909, 3961, 1820, 1787, 2452, 574, 937, 2378, 782, 1493]"
146,32-20s,itr10,Node 3,"[3327, 2477, 3754, 1909, 6502, 3961, 1787, 4477, 937, 2378, 782, 1493]"
147,32-20s,itr10,Node5,"[3327, 2477, 3754, 1909, 819, 1820, 1787, 2452, 4477, 937, 2378, 782, 1493]"
148,32-20s,itr10,Node 1,"[3327, 2477, 3754, 1909, 1820, 3961, 1787, 2452, 937, 859, 2378, 782, 1493]"
149,32-20s,itr10,Node4,"[3327, 2477, 3754, 1909, 6502, 1787, 2452, 859, 937, 2378, 782, 1493]"
150,64-20s,itr1,Node4,"[5822, 5563, 1371, 1425, 2636, 2231, 1920, 1922, 2902, 2008, 2536, 2182, 4207, 2932, 2611, 5504, 5907, 3450]"
151,64-20s,itr1,Node5,"[5563, 1371, 1425, 2636, 2231, 1920, 1922, 2902, 2008, 2536, 2182, 2932, 2611, 5504, 5907, 255, 3450]"
152,64-20s,itr1,Node 2,"[5252, 5563, 1371, 1425, 2636, 2231, 1920, 1922, 2902, 2008, 2536, 2182, 4207, 2611, 255, 5907, 3450]"
153,64-20s,itr1,Node 1,"[5563, 1425, 2636, 2231, 1920, 1922, 2902, 2008, 2536, 2182, 4207, 4056, 2611, 1957, 5907, 3450]"
154,64-20s,itr1,Node 3,"[5465, 5563, 1371, 1425, 2636, 2231, 1920, 1922, 2902, 2008, 2536, 4207, 2932, 1957, 5504, 255, 3450]"
155,64-20s,itr2,Node 2,"[3652, 3413, 1043, 4250, 1037, 4125, 1325, 657, 845, 7877, 375, 2931]"
156,64-20s,itr2,Node 3,"[3652, 3413, 1043, 1228, 1037, 4125, 1325, 544, 657, 7877, 375, 2931]"
157,64-20s,itr2,Node 1,"[3413, 1043, 4250, 1037, 4125, 1325, 9858, 845, 7877, 375, 2931]"
158,64-20s,itr2,Node5,"[3652, 1043, 4250, 1037, 4125, 1325, 845, 657, 7877, 375, 2931]"
159,64-20s,itr2,Node4,"[3652, 3413, 1043, 1037, 1228, 4125, 1325, 864, 657, 7877, 375, 2931]"
160,64-20s,itr3,Node5,"[3131, 3707, 3524, 3166, 4149, 1552, 3136, 934, 1783, 1156, 1812, 412, 2546]"
161,64-20s,itr3,Node4,"[3707, 3524, 4149, 1552, 3136, 934, 2923, 1156, 1812, 412, 2546]"
162,64-20s,itr3,Node 1,"[3131, 3707, 3166, 1727, 4149, 1552, 3136, 934, 1319, 1156, 1812, 412, 2546]"
163,64-20s,itr3,Node 2,"[7704, 3707, 3524, 3166, 4149, 1552, 3136, 934, 1156, 949, 1812, 412, 2546]"
164,64-20s,itr3,Node 3,"[3131, 3707, 1727, 3166, 4149, 1552, 934, 949, 1156, 1812, 412, 2546]"
165,64-20s,itr4,Node 2,"[1600, 4052, 3134, 4457, 2366, 1629, 1932, 1914, 2052, 627, 566, 1113, 1336]"
166,64-20s,itr4,Node 3,"[1600, 4052, 3134, 4698, 2366, 1629, 1932, 1914, 2413, 627, 566, 1113, 1336]"
167,64-20s,itr4,Node 1,"[1600, 4052, 3134, 4457, 4698, 2366, 1629, 1914, 2052, 2413, 627, 566, 1113, 1336]"
